k,il,il_hat,vc,vc_hat,vR2,vR2_hat,iR2,iR2_hat
236,-8.087802,-8.075195,16.153902,16.155273,-18.183138,-18.180534,-0.017165,-0.018174
237,-7.703281,-7.691406,15.385795,15.386719,-17.316732,-17.315725,-0.017980,-0.017310
238,-7.287683,-7.277344,14.555617,14.556641,-16.381524,-16.381799,-0.016185,-0.016376
239,-6.843545,-6.833984,13.668435,13.671875,-15.384434,-15.385839,-0.016107,-0.015380
240,-6.372895,-6.364258,12.728304,12.732422,-14.326416,-14.328579,-0.013051,-0.014323
241,-5.876081,-5.868164,11.735916,11.740234,-13.210559,-13.211971,-0.013324,-0.013207
242,-5.356652,-5.349609,10.698361,10.702148,-12.041121,-12.043831,-0.011243,-0.012040
243,-4.816303,-4.810547,9.619023,9.623047,-10.827215,-10.829533,-0.010150,-0.010826
244,-4.257329,-4.251953,8.502490,8.505859,-9.569346,-9.572250,-0.008358,-0.009569
245,-3.681367,-3.676758,7.352027,7.354492,-8.274526,-8.276623,-0.010131,-0.008274
246,-3.090230,-3.086914,6.171258,6.172852,-6.946084,-6.947049,-0.005864,-0.006945
247,-2.486891,-2.484375,4.966121,4.968750,-5.591044,-5.591831,-0.004841,-0.005590
248,-1.874360,-1.872070,3.742632,3.743164,-4.212495,-4.212679,-0.004376,-0.004211
249,-1.253250,-1.250977,2.502006,2.501953,-2.816136,-2.815698,-0.002778,-0.002815
250,-0.628426,-0.627930,1.253974,1.252930,-1.411182,-1.410414,0.000629,-0.001410
251,-0.000921,-0.000977,0.000588,-0.000977,-0.000294,0.000733,-0.000479,0.000001
252,0.626671,0.625977,-1.252967,-1.253906,1.410410,1.410902,0.002560,0.001410
253,1.251470,1.250000,-2.500937,-2.502930,2.815106,2.816431,0.002487,0.002815
254,1.872445,1.870117,-3.741268,-3.744141,4.211186,4.213167,0.002906,0.004212
255,2.485546,2.482422,-4.965862,-4.968750,5.589229,5.591343,0.004557,0.005589
256,3.087699,3.083984,-6.168582,-6.171875,6.941972,6.945339,0.006114,0.006943
257,3.678854,3.674805,-7.349335,-7.353516,8.272051,8.275158,0.008233,0.008272
258,4.254503,4.250000,-8.499108,-8.505859,9.568014,9.571761,0.007613,0.009568
259,4.814429,4.808594,-9.617475,-9.623047,10.825036,10.829044,0.009966,0.010825
260,5.355128,5.349609,-10.697430,-10.704102,12.041924,12.045785,0.011894,0.012042
261,5.873461,5.867188,-11.732706,-11.741211,13.208318,13.212704,0.016161,0.013208
262,6.370520,6.362305,-12.725492,-12.731445,14.323353,14.327113,0.013398,0.014322
263,6.841606,6.833008,-13.666389,-13.672852,15.382198,15.386572,0.016309,0.015381
264,7.286619,7.277344,-14.555208,-14.560547,16.382214,16.385706,0.015594,0.016380
265,7.701362,7.691406,-15.383556,-15.391602,17.315767,17.320609,0.017914,0.017314
266,8.086604,8.076172,-16.152981,-16.159180,18.181204,18.184686,0.018970,0.018178
267,8.439714,8.427734,-16.858221,-16.863281,18.974320,18.976959,0.019444,0.018970
268,8.759869,8.747070,-17.497633,-17.501953,19.693943,19.695721,0.020016,0.019689
269,9.045782,9.032227,-18.068649,-18.072266,20.336895,20.337550,0.021314,0.020330
270,9.295453,9.281250,-18.567270,-18.569336,20.898306,20.897075,0.021116,0.020890
271,9.507113,9.491211,-18.989965,-18.990234,21.374944,21.370632,0.021035,0.021363
272,9.681688,9.664062,-19.338588,-19.333984,21.765567,21.757733,0.020809,0.021750
273,9.819040,9.799805,-19.612860,-19.605469,22.074588,22.063262,0.022113,0.022055
274,9.917536,9.896484,-19.809520,-19.797852,22.298910,22.279891,0.020591,0.022272
275,9.977431,9.952148,-19.929078,-19.909180,22.431914,22.405180,0.021988,0.022397
276,9.996938,9.967773,-19.967960,-19.939453,22.475205,22.439372,0.022967,0.022431
277,9.976871,9.945312,-19.927798,-19.891602,22.431300,22.385886,0.021195,0.022378
278,9.916922,9.882812,-19.807976,-19.766602,22.294231,22.245211,0.021365,0.022237
279,9.819273,9.784180,-19.612857,-19.571289,22.074573,22.025162,0.022209,0.022017
280,9.681922,9.648438,-19.338432,-19.299805,21.766506,21.719634,0.021374,0.021712
281,9.506915,9.476562,-18.988797,-18.958008,21.373339,21.334731,0.022566,0.021327
282,9.294824,9.268555,-18.565092,-18.542969,20.896047,20.867524,0.022466,0.020860
283,9.046095,9.022461,-18.068208,-18.054688,20.336264,20.317524,0.018756,0.020310
284,8.760670,8.741211,-17.498025,-17.492188,19.695623,19.684486,0.020107,0.019677
285,8.440802,8.423828,-16.859051,-16.857422,18.976801,18.970121,0.018274,0.018963
286,8.087473,8.073242,-16.153243,-16.155273,18.181784,18.180045,0.017898,0.018174
287,7.702110,7.689453,-15.383454,-15.385742,17.314378,17.314259,0.016697,0.017308
288,7.287376,7.276367,-14.555005,-14.561523,16.385339,16.386439,0.018306,0.016381
289,6.843182,6.832031,-13.667711,-13.671875,15.383076,15.385351,0.014487,0.015380
290,6.372535,6.362305,-12.727585,-12.732422,14.325101,14.328090,0.014902,0.014323
291,5.876081,5.866211,-11.735916,-11.741211,13.209500,13.212459,0.014247,0.013208
292,5.356838,5.347656,-10.698732,-10.703125,12.041785,12.044320,0.013166,0.012040
293,4.816544,4.809570,-9.619505,-9.625000,10.827552,10.831242,0.010416,0.010827
294,4.256323,4.249023,-8.500478,-8.503906,9.567005,9.569563,0.009667,0.009566
295,3.681042,3.675781,-7.351380,-7.356445,8.275765,8.278333,0.008622,0.008275
296,3.089442,3.083984,-6.169683,-6.173828,6.944728,6.947293,0.005957,0.006945
297,2.486275,2.481445,-4.964892,-4.968750,5.589188,5.591098,0.004347,0.005589
298,1.874275,1.870117,-3.742462,-3.744141,4.212021,4.213167,0.005532,0.004212
299,1.254194,1.250977,-2.503895,-2.505859,2.817654,2.819605,0.003187,0.002819
